iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,100,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","1,072,460,386.80","0.14","1,072,460,386.80","10,857,060.00","98.78","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","1,071,309,727.68","0.14","1,071,309,727.68","10,114,329.00","105.92","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1,065,084,237.72","0.14","1,065,084,237.72","6,832,719.00","155.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","1,063,779,440.00","0.14","1,063,779,440.00","4,397,600.00","241.90","United States","NASDAQ","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,057,302,349.88","0.14","1,057,302,349.88","2,858,501.00","369.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","1,056,552,859.53","0.14","1,056,552,859.53","2,965,263.00","356.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","1,051,054,252.50","0.14","1,051,054,252.50","724,875.00","1,449.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","1,043,168,709.00","0.14","1,043,168,709.00","8,621,229.00","121.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","1,035,646,724.34","0.14","1,035,646,724.34","1,973,337.00","524.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","1,033,360,218.44","0.14","1,033,360,218.44","1,775,411.00","582.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,031,118,455.04","0.14","1,031,118,455.04","9,505,148.00","108.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","1,004,671,353.00","0.13","1,004,671,353.00","1,262,975.00","795.48","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,000,592,206.76","0.13","1,000,592,206.76","15,297,236.00","65.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","992,802,091.52","0.13","992,802,091.52","4,808,224.00","206.48","United States","NASDAQ","USD","1.00","USD","-"
